		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10001
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110110000    5    0    0    2    1    3    3    1  9.872239 0.274108 SUCCESS 112
110110010    1    4    1    1    2    3    0    4  7.393125 0.494871 SUCCESS 113
110110100    1    1    2    3    3    0    4    4  6.671567 0.572447 SUCCESS 114
110111000    3    3    2    3    1    1    4    3  3.408006 0.906211 SUCCESS 115
110111010    7    1    2    5    2    1    3    3 13.827568 0.086372 SUCCESS 116
110111100    0    6    4    3    4    5    2    7 21.893792 0.005116 FAILURE 117
111000000    6    4    5    3    2    1    3    3 10.626896 0.223749 SUCCESS 118
111000010    1    3    5    3    2    2    2    2  4.255341 0.833382 SUCCESS 119
111000100    0    1    3    1    1    5    1    5 11.692684 0.165451 SUCCESS 120
111000110    1    1    3    2    1    3    4    1  4.851122 0.773363 SUCCESS 121
111001000    2    2    2    0    2    3    3    1  3.940900 0.862416 SUCCESS 122
111001010    2    2    0    4    1    3    1    3  5.698457 0.680967 SUCCESS 123
111001100    2    7    3    2    3    3    3    1 10.438232 0.235604 SUCCESS 124
111010000    4    3    3    4    3    1    2    2  3.533783 0.896552 SUCCESS 125
111010010    3    2    0    1    0    3    2    1  7.141573 0.521438 SUCCESS 126
111010100    1    1    2    2    2    2    4    2  3.156454 0.924159 SUCCESS 127
111010110    2    1    2    4    2    4    2    2  3.345118 0.910872 SUCCESS 128
111011000    4    2    2    3    1    1    1    1  4.788234 0.779952 SUCCESS 129
111011010    1    1    3    2    4    1    4    4  5.950009 0.652832 SUCCESS 130
111011100    2    2    4    5    3    2    4    3  5.417115 0.712205 SUCCESS 131
111100000    7    5    6    1    2    1    0    7 30.241358 0.000192 FAILURE 132
111100010    0    2    2    0    2    5    4    9 27.384915 0.000607 FAILURE 133
111100100    2    1    2    1    3    6    1    2  8.366235 0.398537 SUCCESS 134
111100110    2    7    2    4    3    5    2    2 13.168899 0.106169 SUCCESS 135
111101000    1    6    2    3    4    0    1    4 11.944236 0.153709 SUCCESS 136
111101010    0    4    1    0    2    2    3    3  7.330237 0.501457 SUCCESS 137
111101100    3    5    3    1    4    0    0    2 10.060903 0.260777 SUCCESS 138
111101110    3    2    3    2    1    2    6    2  6.860231 0.551785 SUCCESS 139
111110000    2    2    2    1    1    1    1    2  3.752236 0.878757 SUCCESS 140
111110010    2    1    1    0    1    4    2    2  6.357126 0.607295 SUCCESS 141
111110100    2    3    3    4    2    1    2    0  4.914011 0.766726 SUCCESS 142
111110110    2    2    4    1    7    2    2    3 11.222678 0.189398 SUCCESS 143
111111000    0    1    3    1    1    2    1    4  7.204461 0.514742 SUCCESS 144
111111010    1    5    2    4    2    3    1    0  8.366235 0.398537 SUCCESS 145
111111100    2    1    2    0    1    2    5    3  7.393125 0.494871 SUCCESS 146
111111110    1    3    3    2    2    3    5    2  4.318229 0.827331 SUCCESS 147

