		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110100100  251  256  223  268  226  246  256  258  7.923104 0.441017 SUCCESS 108
110101000  239  265  235  241  270  264  231  250  7.737749 0.459498 SUCCESS 109
110101010  234  231  246  257  224  270  234  257  7.570401 0.476517 SUCCESS 110
110101100  237  213  256  230  233  242  271  271 12.425626 0.133200 SUCCESS 111
110110000  250  268  254  234  252  228  256  206 11.528511 0.173512 SUCCESS 112
110110010  228  258  244  238  203  230  246  215 13.695568 0.090054 SUCCESS 113
110110100  232  226  263  249  265  254  233  254  6.821569 0.556001 SUCCESS 114
110111000  243  256  220  245  254  244  217  240  6.674345 0.572141 SUCCESS 115
110111010  256  265  267  271  253  237  235  251  8.822337 0.357504 SUCCESS 116
110111100  244  229  211  241  243  240  245  232  6.362950 0.606646 SUCCESS 117
111000000  263  231  233  245  292  258  254  239 13.817372 0.086652 SUCCESS 118
111000010  227  240  259  244  256  221  244  270  7.951701 0.438202 SUCCESS 119
111000100  236  248  202  246  245  250  219  213 14.804516 0.063060 SUCCESS 120
111000110  237  237  241  231  230  232  238  245  2.831685 0.944472 SUCCESS 121
111001000  236  238  235  222  226  229  242  240  5.317551 0.723159 SUCCESS 122
111001010  221  256  262  246  256  222  252  268  9.580701 0.295696 SUCCESS 123
111001100  254  226  249  231  225  226  250  240  5.795236 0.670156 SUCCESS 124
111010000  254  244  230  263  235  231  246  256  4.462803 0.813143 SUCCESS 125
111010010  211  256  225  271  263  235  236  255 12.498708 0.130301 SUCCESS 126
111010100  235  274  255  252  257  258  236  265  8.541658 0.382422 SUCCESS 127
111010110  249  224  259  221  242  248  261  230  7.154148 0.520096 SUCCESS 128
111011000  247  273  225  218  255  228  263  205 17.606015 0.024382 SUCCESS 129
111011010  224  222  244  253  223  263  218  240 10.487349 0.232471 SUCCESS 130
111011100  254  258  237  238  251  246  242  235  2.189829 0.974632 SUCCESS 131
111100000  280  229  233  244  276  247  254  252 11.961710 0.152920 SUCCESS 132
111100010  224  243  210  252  245  255  236  206 13.859739 0.085495 SUCCESS 133
111100100  237  272  222  247  250  255  236  266  8.570255 0.379834 SUCCESS 134
111100110  247  245  250  203  239  236  261  248  9.010869 0.341380 SUCCESS 135
111101000  251  231  239  255  228  233  262  274  8.303345 0.404413 SUCCESS 136
111101010  247  260  245  254  232  237  250  264  4.176828 0.840827 SUCCESS 137
111101100  244  267  240  219  236  245  261  215 10.046735 0.261761 SUCCESS 138
111101110  256  240  219  239  268  252  252  252  6.658458 0.573890 SUCCESS 139
111110000  251  223  253  228  269  229  221  266 11.409884 0.179538 SUCCESS 140
111110010  237  238  247  256  234  246  238  268  4.029603 0.854443 SUCCESS 141
111110100  230  216  253  282  235  248  238  253 11.516860 0.174097 SUCCESS 142
